stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
Jar_DoLe_05,,Dolnoleżajska - Szkoła,,50.044735,22.680614,miejska,,0,,,2,,
Jar_DoLe_06,,Dolnoleżajska - Szkoła,,50.044685,22.680706,miejska,,0,,,2,,
Jar_Brod_01,,Brodowicze,,50.048584,22.680643,miejska,,0,,,2,,
Jar_Brod_02,,Brodowicze,,50.048576,22.680799,miejska,,0,,,2,,
Jar_Staw_01,,Stawki I,,50.055058,22.677919,miejska,,0,,,2,,
Jar_Staw_02,,Stawki I,,50.054981,22.678003,miejska,,0,,,2,,
Jar_Staw_03,,Stawki,,50.059025,22.683308,miejska,,0,,,2,,
Jar_Staw_04,,Stawki,,50.059063,22.683466,miejska,,0,,,2,,
Jar_Staw_05,,Stawki - Końcowy,,50.063255,22.68519,miejska,,0,,,2,,
Jar_Pogo_01,,Pogodna / Hajnusa,,50.026741,22.668585,miejska,,0,,,2,,
Jar_Pogo_02,,Pogodna - Ogródki,,50.02858,22.662704,miejska,,0,,,2,,
Jar_Grod_01,,Grodziszczańska III,,50.031673,22.656946,miejska,,0,,,2,,
Jar_Grod_02,,Grodziszczańska IV,,50.037102,22.653042,miejska,,0,,,2,,
Jar_Grod_03,,Grodziszczańska V,,50.034706,22.654108,miejska,,0,,,2,,
Jar_Grod_04,,Grodziszczańska - Wiadukt,,50.030289,22.656567,miejska,,0,,,2,,
Jar_Grod_05,,Grodziszczańska II,,50.024517,22.658396,miejska,,0,,,2,,
Jar_Band_03,,Bandurskiego - Dół,,50.019981,22.662245,miejska,,0,,,2,,
Jar_BaCh_01,,Batalionów Chłopskich I,,50.038586,22.672876,miejska,,0,,,2,,
Jar_BaCh_02,,Batalionów Chłopskich I,,50.038658,22.672947,miejska,,0,,,2,,
Jar_BaCh_03,,Batalionów Chłopskich II,,50.046272,22.67071,miejska,,0,,,2,,
Jar_BaCh_04,,Batalionów Chłopskich II,,50.046452,22.67074,miejska,,0,,,2,,
Jar_Kami_01,,Kamienna,,50.057457,22.665375,miejska,,0,,,2,,
Jar_Kami_02,,Kamienna,,50.057545,22.665489,miejska,,0,,,2,,
Jar_Kami_03,,Szwaby,,50.065334,22.663286,miejska,,0,,,2,,
Jar_Kami_04,,Szwaby,,50.065437,22.663393,miejska,,0,,,2,,
Jar_Kami_05,,Lipowa,,50.068909,22.658745,miejska,,0,,,2,,
Jar_Kami_06,,Lipowa,,50.068928,22.658876,miejska,,0,,,2,,
Jar_Lazy_01,,Łazy - Szkoła,,50.071873,22.655155,miejska,,0,,,2,,
Jar_Lazy_02,,Łazy - Szkoła,,50.071697,22.655064,miejska,,0,,,2,,
Jar_Lazy_03,,Łazy I,,50.077065,22.654726,miejska,,0,,,2,,
Jar_Lazy_04,,Łazy I,,50.077171,22.654804,miejska,,0,,,2,,
Jar_Lazy_05,,Łazy,,50.083733,22.655645,miejska,,0,,,2,,
Jar_Lazy_06,,Łazy,,50.083633,22.655754,miejska,,0,,,2,,
Jar_Zwir_01,,Łazy - San,,50.080425,22.664175,miejska,,0,,,2,,
Kos_Kost_01,,Kostków I,,50.089127,22.6563,1,,0,,,2,,
Kos_Kost_02,,Kostków I,,50.089153,22.656425,1,,0,,,2,,
Kos_Kost_03,,Kostków II,,50.098797,22.653986,1,,0,,,2,,
Kos_Kost_04,,Kostków II,,50.098698,22.654167,1,,0,,,2,,
Kos_Kost_05,,Kostków [nż],,50.102558,22.650867,1,,0,,,2,,
Kos_Kost_06,,Kostków [nż],,50.102711,22.650723,1,,0,,,2,,
Kos_Kost_07,,Kostków - Pętla,,50.10635,22.647367,1,,0,,,2,,
Kos_Kost_08,,Kostków - Pętla,,50.106354,22.647703,1,,0,,,2,,
Kos_Kost_09,,Kostków - Kościół,,50.111965,22.64152,1,,0,,,2,,
Kos_Kost_10,,Kostków - Kościół,,50.111965,22.64172,1,,0,,,2,,
Kos_Kost_11,,Kostków - Oczyszczalnia,,50.115967,22.637636,1,,0,,,2,,
Kos_Kost_12,,Kostków - Oczyszczalnia,,50.115891,22.637798,1,,0,,,2,,
Osa_Osad_01,,Osada - Skrzyżowanie,,50.119846,22.633827,1,,0,,,2,,
Osa_Osad_02,,Osada - Skrzyżowanie,,50.120152,22.633646,1,,0,,,2,,
Osa_Osad_03,,Osada - Świetlica,,50.12759,22.626961,1,,0,,,2,,
Jar_Sano_01,,Sanowa - Noclegowania,,50.020649,22.699177,miejska,,0,,,2,,
Jar_Sano_02,,Sanowa - Noclegowania,,50.020523,22.700205,miejska,,0,,,2,,
Jar_Sano_03,,Sanowa - Bulwary,,50.020988,22.707516,miejska,,0,,,2,,
Jar_Sano_04,,Sanowa - Bulwary,,50.020947,22.708652,miejska,,0,,,2,,
Jar_Sano_05,,Sanowa - Cmentarz,,50.023018,22.713194,miejska,,0,,,2,,
Jar_Sano_06,,Sanowa - Cmentarz,,50.0238,22.714165,miejska,,0,,,2,,
Jar_tech_01,,ul. Zamkowa Zajezdnia [tech],,50.019108,22.691702,miejska,,0,,,0,,
